pl_name,hostname,default_flag,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,ttv_flag,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_logg,st_loggerr1,st_loggerr2,st_logglim,sy_refname,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,rowupdate,pl_pubdate,releasedate
Kepler-1834 c,Kepler-1834,0,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,0.76669152,0.00000127,-0.00000127,0,,,,0,,,,0,,,,,,,,,,,,,,,,,0,,,,0,,,,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4798.00,122.00,-122.00,0,0.75,,,0,0.78,,,0,,,,,,4.58,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m39.52s,294.6646789,+39d47m01.85s,39.7838461,500.3950000,8.3260000,-8.0630000,15.1800000,0.0800000,-0.0800000,12.7220000,0.0380000,-0.0380000,14.9047000,0.0003090,-0.0003090,2018-09-25,2018-08-16,2018-09-25
Kepler-1834 c,Kepler-1834,0,1,2,Transit,2023,Kepler,Published Confirmed,0,<a refstr=VALIZADEGAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230502470V/abstract target=ref>Valizadegan et al. 2023</a>,0.76669198,,,0,,,,,1.456,,,0,0.130,,,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,4821.00,76.00,-76.00,0,0.79,0.03,-0.05,0,0.77,0.05,-0.03,0,0.160,0.150,-0.150,0,[Fe/H],4.53,0.06,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m39.52s,294.6646789,+39d47m01.85s,39.7838461,500.3950000,8.3260000,-8.0630000,15.1800000,0.0800000,-0.0800000,12.7220000,0.0380000,-0.0380000,14.9047000,0.0003090,-0.0003090,2023-05-16,2023-05,2023-05-16
Kepler-1834 c,Kepler-1834,1,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,0.76669152,0.00000127,-0.00000127,0,0.015000,,,0,1.220,0.050,-0.080,0,,,,,,,,,,,,,,0.000000,,,0,1334.22,188.87,-238.99,0,1541,,,0,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,4821.00,76.00,-76.00,0,0.79,0.03,-0.05,0,0.77,0.05,-0.03,0,0.160,0.150,-0.150,0,[Fe/H],4.53,0.06,-0.02,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m39.52s,294.6646789,+39d47m01.85s,39.7838461,500.3950000,8.3260000,-8.0630000,15.1800000,0.0800000,-0.0800000,12.7220000,0.0380000,-0.0380000,14.9047000,0.0003090,-0.0003090,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-1834 c,Kepler-1834,0,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,0.76668953,0.00000148,-0.00000148,0,0.014700,,,0,1.110,0.140,-0.100,0,,,,,,,,,,,,,,0.000000,,,0,1167.52,508.51,-284.01,0,1491,,,0,0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,4894.00,149.00,-128.00,0,0.70,0.09,-0.06,0,0.72,0.09,-0.06,0,-0.220,0.340,-0.280,0,[Fe/H],4.60,0.04,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m39.52s,294.6646789,+39d47m01.85s,39.7838461,500.3950000,8.3260000,-8.0630000,15.1800000,0.0800000,-0.0800000,12.7220000,0.0380000,-0.0380000,14.9047000,0.0003090,-0.0003090,2014-11-21,2014-12-18,2014-11-21
Kepler-1834 c,Kepler-1834,0,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,0.76668953,0.00000148,-0.00000148,0,0.014700,,,0,1.110,0.140,-0.100,0,,,,,,,,,,,,,,0.000000,,,0,1167.52,508.51,-284.01,0,1491,,,0,0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,4894.00,149.00,-128.00,0,0.70,0.09,-0.06,0,0.72,0.09,-0.06,0,-0.220,0.340,-0.280,0,[Fe/H],4.60,0.04,-0.06,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m39.52s,294.6646789,+39d47m01.85s,39.7838461,500.3950000,8.3260000,-8.0630000,15.1800000,0.0800000,-0.0800000,12.7220000,0.0380000,-0.0380000,14.9047000,0.0003090,-0.0003090,2015-08-25,2015-09-24,2015-08-25
Kepler-1859 c,Kepler-1859,0,1,2,Transit,2023,Kepler,Published Confirmed,0,<a refstr=VALIZADEGAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230502470V/abstract target=ref>Valizadegan et al. 2023</a>,3.59643006,,,0,,,,,1.717,,,0,0.153,,,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5887.00,70.00,-79.00,0,1.24,0.21,-0.17,0,1.09,0.07,-0.08,0,0.160,0.150,-0.150,0,[Fe/H],4.29,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h35m57.28s,293.9886751,+46d43m04.80s,46.7179996,1331.2500000,43.2650000,-43.2650000,15.1780000,0.1260000,-0.1260000,13.7140000,0.0480000,-0.0480000,15.1088000,0.0003640,-0.0003640,2023-05-16,2023-05,2023-05-16
Kepler-1859 c,Kepler-1859,0,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,3.59645081,0.00003644,-0.00003644,0,,,,0,,,,0,,,,,,,,,,,,,,,,,0,,,,0,,,,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5845.23,145.85,-145.85,0,1.16,,,0,1.05,,,0,0.068,0.014,-0.014,0,[M/H],4.33,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h35m57.28s,293.9886751,+46d43m04.80s,46.7179996,1331.2500000,43.2650000,-43.2650000,15.1780000,0.1260000,-0.1260000,13.7140000,0.0480000,-0.0480000,15.1088000,0.0003640,-0.0003640,2018-09-25,2018-08-16,2018-09-25
Kepler-1859 c,Kepler-1859,0,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,3.59640550,0.00002695,-0.00002695,0,0.046400,,,0,1.320,0.630,-0.140,0,,,,,,,,,,,,,,0.000000,,,0,696.11,978.32,-217.36,0,1310,,,0,0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,6190.00,164.00,-210.00,0,1.07,0.50,-0.12,0,1.02,0.20,-0.11,0,-0.160,0.240,-0.300,0,[Fe/H],4.39,0.08,-0.30,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h35m57.28s,293.9886751,+46d43m04.80s,46.7179996,1331.2500000,43.2650000,-43.2650000,15.1780000,0.1260000,-0.1260000,13.7140000,0.0480000,-0.0480000,15.1088000,0.0003640,-0.0003640,2014-11-18,2014-12-04,2014-11-18
Kepler-1859 c,Kepler-1859,0,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,3.59640550,0.00002695,-0.00002695,0,0.046400,,,0,1.320,0.630,-0.140,0,,,,,,,,,,,,,,0.000000,,,0,696.11,978.32,-217.36,0,1310,,,0,0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,6190.00,164.00,-210.00,0,1.07,0.50,-0.12,0,1.02,0.20,-0.11,0,-0.160,0.240,-0.300,0,[Fe/H],4.39,0.08,-0.30,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h35m57.28s,293.9886751,+46d43m04.80s,46.7179996,1331.2500000,43.2650000,-43.2650000,15.1780000,0.1260000,-0.1260000,13.7140000,0.0480000,-0.0480000,15.1088000,0.0003640,-0.0003640,2015-08-25,2015-09-24,2015-08-25
Kepler-1859 c,Kepler-1859,0,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,3.59640550,0.00002695,-0.00002695,0,0.046400,,,0,1.320,0.630,-0.140,0,,,,,,,,,,,,,,0.000000,,,0,696.11,978.32,-217.36,0,1310,,,0,0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,6190.00,164.00,-210.00,0,1.07,0.50,-0.12,0,1.02,0.20,-0.11,0,-0.160,0.240,-0.300,0,[Fe/H],4.39,0.08,-0.30,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h35m57.28s,293.9886751,+46d43m04.80s,46.7179996,1331.2500000,43.2650000,-43.2650000,15.1780000,0.1260000,-0.1260000,13.7140000,0.0480000,-0.0480000,15.1088000,0.0003640,-0.0003640,2014-11-21,2014-12-18,2014-11-21
Kepler-1859 c,Kepler-1859,1,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,3.59645081,0.00003644,-0.00003644,0,0.047300,,,0,1.660,0.290,-0.230,0,,,,,,,,,,,,,,0.000000,,,0,732.82,323.35,-221.37,0,1327,,,0,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5887.00,70.00,-79.00,0,1.24,0.21,-0.17,0,1.09,0.07,-0.08,0,0.160,0.150,-0.150,0,[Fe/H],4.29,0.12,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h35m57.28s,293.9886751,+46d43m04.80s,46.7179996,1331.2500000,43.2650000,-43.2650000,15.1780000,0.1260000,-0.1260000,13.7140000,0.0480000,-0.0480000,15.1088000,0.0003640,-0.0003640,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-1869 c,Kepler-1869,1,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,1.71682830,0.00000941,-0.00000941,0,0.028000,,,0,0.740,0.120,-0.030,0,,,,,,,,,,,,,,0.000000,,,0,1056.84,452.51,-186.21,0,1455,,,0,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5808.00,105.00,-128.00,0,0.90,0.14,-0.05,0,0.99,0.05,-0.08,0,-0.060,0.150,-0.150,0,[Fe/H],4.52,0.03,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m27.60s,292.6149958,+42d45m51.64s,42.7643438,113.0250000,0.2910000,-0.2910000,10.3100000,0.0050000,-0.0050000,8.6930000,0.0150000,-0.0150000,10.0911000,0.0004100,-0.0004100,2017-05-08,2017-08-31 00:00,2017-05-08
Kepler-1869 c,Kepler-1869,0,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,1.71683172,0.00000216,-0.00000216,0,0.030200,,,0,1.570,0.450,-0.630,0,,,,,,,,,,,,,,0.000000,,,0,4806.71,3968.40,-3267.10,0,2124,,,0,0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5895.00,158.00,-164.00,0,2.01,0.57,-0.81,0,1.24,0.23,-0.26,0,0.140,0.200,-0.280,0,[Fe/H],3.92,0.34,-0.16,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m27.60s,292.6149958,+42d45m51.64s,42.7643438,113.0250000,0.2910000,-0.2910000,10.3100000,0.0050000,-0.0050000,8.6930000,0.0150000,-0.0150000,10.0911000,0.0004100,-0.0004100,2015-08-25,2015-09-24,2015-08-25
Kepler-1869 c,Kepler-1869,0,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr25_sup_koi),0,<a refstr=Q1_Q17_DR25_SUPPLEMENTAL_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 Supplemental KOI Table</a>,1.71682830,0.00000941,-0.00000941,0,,,,0,,,,0,,,,,,,,,,,,,,,,,0,,,,0,,,,0,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5770.00,120.21,-168.54,0,0.94,0.06,-0.04,0,1.03,0.13,-0.14,0,0.000,0.100,-0.100,0,[M/H],4.50,0.06,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m27.60s,292.6149958,+42d45m51.64s,42.7643438,113.0250000,0.2910000,-0.2910000,10.3100000,0.0050000,-0.0050000,8.6930000,0.0150000,-0.0150000,10.0911000,0.0004100,-0.0004100,2018-09-25,2018-08-16,2018-09-25
Kepler-1869 c,Kepler-1869,0,1,2,Transit,2023,Kepler,Published Confirmed,0,<a refstr=VALIZADEGAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230502470V/abstract target=ref>Valizadegan et al. 2023</a>,1.71684003,,,0,,,,,0.830,,,0,0.074,,,0,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5808.00,105.00,-128.00,0,0.90,0.14,-0.05,0,0.99,0.05,-0.08,0,-0.060,0.150,-0.150,0,[Fe/H],4.52,0.03,-0.12,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m27.60s,292.6149958,+42d45m51.64s,42.7643438,113.0250000,0.2910000,-0.2910000,10.3100000,0.0050000,-0.0050000,8.6930000,0.0150000,-0.0150000,10.0911000,0.0004100,-0.0004100,2023-05-16,2023-05,2023-05-16
Kepler-1869 c,Kepler-1869,0,1,2,Transit,2023,Kepler,Published Confirmed,0,<a refstr=HOLCZER_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..225....9H/abstract target=ref>Holczer et al. 2016</a>,1.71682880,0.00000155,-0.00000155,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,5770.00,120.21,-168.54,0,0.94,0.06,-0.04,0,1.03,0.13,-0.14,0,0.000,0.100,-0.100,0,[M/H],4.50,0.06,-0.10,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m27.60s,292.6149958,+42d45m51.64s,42.7643438,113.0250000,0.2910000,-0.2910000,10.3100000,0.0050000,-0.0050000,8.6930000,0.0150000,-0.0150000,10.0911000,0.0004100,-0.0004100,2016-07-26,2016-07,2016-07-28
Kepler-1869 c,Kepler-1869,0,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,1.71683172,0.00000216,-0.00000216,0,0.030200,,,0,1.570,0.450,-0.630,0,,,,,,,,,,,,,,0.000000,,,0,4806.71,3968.40,-3267.10,0,2124,,,0,0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5895.00,158.00,-164.00,0,2.01,0.57,-0.81,0,1.24,0.23,-0.26,0,0.140,0.200,-0.280,0,[Fe/H],3.92,0.34,-0.16,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m27.60s,292.6149958,+42d45m51.64s,42.7643438,113.0250000,0.2910000,-0.2910000,10.3100000,0.0050000,-0.0050000,8.6930000,0.0150000,-0.0150000,10.0911000,0.0004100,-0.0004100,2014-11-21,2014-12-18,2014-11-21
Kepler-1869 c,Kepler-1869,0,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q8_koi),0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,1.71683330,0.00000290,-0.00000290,0,0.029000,,,0,1.900,0.530,-0.530,0,,,,,,,,,,,,,,0.000000,,,0,,,,0,2095,,,0,0,<a refstr=Q1_Q8_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q8 KOI Table</a>,,5803.00,80.00,-80.00,0,1.94,0.31,-0.31,0,1.12,0.09,-0.09,0,,,,0,,3.91,0.30,-0.30,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m27.60s,292.6149958,+42d45m51.64s,42.7643438,113.0250000,0.2910000,-0.2910000,10.3100000,0.0050000,-0.0050000,8.6930000,0.0150000,-0.0150000,10.0911000,0.0004100,-0.0004100,2013-10-28,2014-01-08,2013-10-28
Kepler-1869 c,Kepler-1869,0,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q12_koi),0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,1.71683172,0.00000216,-0.00000216,0,0.030200,,,0,1.570,0.450,-0.630,0,,,,,,,,,,,,,,0.000000,,,0,4806.71,3968.40,-3267.10,0,2124,,,0,0,<a refstr=Q1_Q12_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q12 KOI Table</a>,,5895.00,158.00,-164.00,0,2.01,0.57,-0.81,0,1.24,0.23,-0.26,0,0.140,0.200,-0.280,0,[Fe/H],3.92,0.34,-0.16,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h30m27.60s,292.6149958,+42d45m51.64s,42.7643438,113.0250000,0.2910000,-0.2910000,10.3100000,0.0050000,-0.0050000,8.6930000,0.0150000,-0.0150000,10.0911000,0.0004100,-0.0004100,2014-11-18,2014-12-04,2014-11-18
Kepler-1894 c,Kepler-1894,0,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr24_koi),0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,5.05366499,0.00005282,-0.00005282,0,0.057600,,,0,1.230,0.520,-0.100,0,,,,,,,,,,,,,,0.000000,,,0,243.06,308.38,-60.30,0,1007,,,0,0,<a refstr=Q1_Q17_DR24_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR24 KOI Table</a>,,5772.00,169.00,-172.00,0,0.90,0.38,-0.07,0,1.00,0.12,-0.12,0,0.000,0.210,-0.280,0,[Fe/H],4.53,0.03,-0.30,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h42m20.75s,295.5864604,+49d40m00.67s,49.6668523,935.1910000,24.7450000,-23.5230000,15.4520000,0.0920000,-0.0920000,13.6480000,0.0520000,-0.0520000,15.3627000,0.0004070,-0.0004070,2015-08-25,2015-09-24,2015-08-25
Kepler-1894 c,Kepler-1894,0,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q16_koi),0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,5.05366499,0.00005282,-0.00005282,0,0.057600,,,0,1.230,0.520,-0.100,0,,,,,,,,,,,,,,0.000000,,,0,243.06,308.38,-60.30,0,1007,,,0,0,<a refstr=Q1_Q16_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q16 KOI Table</a>,,5772.00,169.00,-172.00,0,0.90,0.38,-0.07,0,1.00,0.12,-0.12,0,0.000,0.210,-0.280,0,[Fe/H],4.53,0.03,-0.30,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h42m20.75s,295.5864604,+49d40m00.67s,49.6668523,935.1910000,24.7450000,-23.5230000,15.4520000,0.0920000,-0.0920000,13.6480000,0.0520000,-0.0520000,15.3627000,0.0004070,-0.0004070,2014-11-21,2014-12-18,2014-11-21
Kepler-1894 c,Kepler-1894,1,1,2,Transit,2023,Kepler,Kepler Project Candidate (q1_q17_dr25_koi),0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,5.05368985,0.00005076,-0.00005076,0,0.057600,,,0,1.210,0.370,-0.110,0,,,,,,,,,,,,,,0.000000,,,0,243.06,217.63,-66.98,0,1007,,,0,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,,5772.00,156.00,-173.00,0,0.90,0.28,-0.09,0,1.00,0.11,-0.12,0,0.000,0.250,-0.300,0,[Fe/H],4.53,0.04,-0.21,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h42m20.75s,295.5864604,+49d40m00.67s,49.6668523,935.1910000,24.7450000,-23.5230000,15.4520000,0.0920000,-0.0920000,13.6480000,0.0520000,-0.0520000,15.3627000,0.0004070,-0.0004070,2017-05-08,2017-08-31 00:00,2017-05-08
